Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Adj Close Diff,Price_Diff
1993-03-10,350.0,367.5,350.0,367.5,367.5,-0.2045097152359372,,,
1993-03-11,385.0,402.5,367.5,402.5,402.5,-0.2121449507576204,9.523809523809534,35.0,35.0
1993-03-12,402.5,402.5,367.5,402.5,402.5,-0.2255066129205661,0.0,0.0,0.0
1993-03-15,402.5,402.5,367.5,367.5,367.5,-0.2235978040401453,-8.695652173913048,-35.0,-35.0
1993-03-16,402.5,402.5,347.8125,367.5,367.5,-0.215962568518462,0.0,0.0,0.0
1993-03-17,367.5,367.5,367.5,367.5,367.5,-0.2274154218009869,0.0,0.0,0.0
1993-03-18,367.5,367.5,367.5,367.5,367.5,-0.2274154218009869,0.0,0.0,0.0
1993-03-19,385.0,385.0,367.5,385.0,385.0,-0.2083273329967788,4.761904761904767,17.5,17.5
1993-03-22,385.0,385.0,385.0,385.0,385.0,-0.2274154218009869,0.0,0.0,0.0
1993-03-23,376.25,385.0,367.5,385.0,385.0,-0.2274154218009869,0.0,0.0,0.0
1993-03-24,385.0,385.0,367.5,367.5,367.5,-0.215962568518462,-4.545454545454541,-17.5,-17.5
1993-03-25,385.0,385.0,367.5,367.5,367.5,-0.2274154218009869,0.0,0.0,0.0
1993-03-26,385.0,385.0,367.5,385.0,385.0,-0.2178713773988828,4.761904761904767,17.5,17.5
1993-03-29,385.0,437.5,350.0,437.5,437.5,-0.2255066129205661,13.636363636363647,52.5,52.5
1993-03-30,455.0,525.0,437.5,463.75,463.75,-0.2026009063555164,6.000000000000005,26.25,26.25
1993-03-31,472.5,472.5,437.5,437.5,437.5,-0.2216889951597244,-5.660377358490565,-26.25,-26.25
1993-04-01,472.5,472.5,437.5,437.5,437.5,-0.215962568518462,0.0,0.0,0.0
1993-04-02,437.5,472.5,437.5,455.0,455.0,-0.2140537596380412,4.000000000000004,17.5,17.5
1993-04-05,472.5,472.5,437.5,455.0,455.0,-0.2255066129205661,0.0,0.0,0.0
1993-04-06,455.0,455.0,420.0,420.0,420.0,-0.2235978040401453,-7.692307692307687,-35.0,-35.0
1993-04-07,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,0.0,0.0,0.0
1993-04-08,420.0,420.0,402.5,411.25,411.25,-0.2274154218009869,-2.083333333333337,-8.75,-8.75
1993-04-12,411.25,411.25,411.25,411.25,411.25,-0.2274154218009869,0.0,0.0,0.0
1993-04-13,411.25,411.25,411.25,411.25,411.25,-0.2274154218009869,0.0,0.0,0.0
1993-04-14,411.25,411.25,411.25,411.25,411.25,-0.2274154218009869,0.0,0.0,0.0
1993-04-15,393.75,393.75,393.75,393.75,393.75,-0.2255066129205661,-4.255319148936165,-17.5,-17.5
1993-04-16,385.0,385.0,385.0,385.0,385.0,-0.2274154218009869,-2.222222222222225,-8.75,-8.75
1993-04-19,437.5,437.5,402.5,402.5,402.5,-0.2274154218009869,4.545454545454541,17.5,17.5
1993-04-20,411.25,411.25,411.25,411.25,411.25,-0.2274154218009869,2.1739130434782705,8.75,8.75
1993-04-21,420.0,420.0,385.0,393.75,393.75,-0.2274154218009869,-4.255319148936165,-17.5,-17.5
1993-04-22,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,6.666666666666665,26.25,26.25
1993-04-23,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,0.0,0.0,0.0
1993-04-26,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,0.0,0.0,0.0
1993-04-27,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,0.0,0.0,0.0
1993-04-28,411.25,411.25,411.25,411.25,411.25,-0.2274154218009869,-2.083333333333337,-8.75,-8.75
1993-04-29,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,2.127659574468077,8.75,8.75
1993-04-30,420.0,420.0,420.0,420.0,420.0,-0.2274154218009869,0.0,0.0,0.0
1993-05-03,437.5,437.5,437.5,437.5,437.5,-0.2274154218009869,4.166666666666674,17.5,17.5
1993-05-04,437.5,490.0,437.5,472.5,472.5,-0.2140537596380412,8.000000000000007,35.0,35.0
1993-05-05,490.0,507.5,455.0,498.75,498.75,-0.215962568518462,5.555555555555558,26.25,26.25
1993-05-06,490.0,525.0,490.0,498.75,498.75,-0.2235978040401453,0.0,0.0,0.0
1993-05-07,490.0,533.75,490.0,507.5,507.5,-0.215962568518462,1.7543859649122862,8.75,8.75
1993-05-10,533.75,533.75,516.25,533.75,533.75,-0.2274154218009869,5.172413793103448,26.25,26.25
1993-05-11,533.75,533.75,533.75,533.75,533.75,-0.2274154218009869,0.0,0.0,0.0
1993-05-12,533.75,533.75,525.0,533.75,533.75,-0.2235978040401453,0.0,0.0,0.0
1993-05-13,507.5,507.5,507.5,507.5,507.5,-0.2274154218009869,-4.918032786885251,-26.25,-26.25
1993-05-14,498.75,542.5,498.75,542.5,542.5,-0.2274154218009869,6.896551724137923,35.0,35.0
1993-05-17,542.5,542.5,490.0,533.75,533.75,-0.2216889951597244,-1.6129032258064502,-8.75,-8.75
1993-05-18,481.25,481.25,481.25,481.25,481.25,-0.2274154218009869,-9.836065573770492,-52.5,-52.5
1993-05-19,533.75,533.75,533.75,533.75,533.75,-0.2274154218009869,10.909090909090914,52.5,52.5
1993-05-20,507.5,560.0,481.25,525.0,525.0,-0.2083273329967788,-1.6393442622950838,-8.75,-8.75
1993-05-21,542.5,586.25,525.0,560.0,560.0,-0.215962568518462,6.666666666666665,35.0,35.0
1993-05-24,560.0,560.0,560.0,560.0,560.0,-0.2274154218009869,0.0,0.0,0.0
1993-05-25,560.0,560.0,525.0,525.0,525.0,-0.2274154218009869,-6.25,-35.0,-35.0
1993-05-26,560.0,577.5,560.0,560.0,560.0,-0.2235978040401453,6.666666666666665,35.0,35.0
1993-05-27,586.25,586.25,551.25,560.0,560.0,-0.2235978040401453,0.0,0.0,0.0
1993-05-28,542.5,586.25,542.5,560.0,560.0,-0.2274154218009869,0.0,0.0,0.0
1993-06-01,542.5,586.25,542.5,586.25,586.25,-0.2274154218009869,4.6875,26.25,26.25
1993-06-02,586.25,586.25,542.5,577.5,577.5,-0.2255066129205661,-1.49253731343284,-8.75,-8.75
1993-06-03,595.0,595.0,560.0,595.0,595.0,-0.2197801862793036,3.030303030303028,17.5,17.5
1993-06-04,595.0,595.0,577.5,595.0,595.0,-0.2235978040401453,0.0,0.0,0.0
1993-06-07,595.0,595.0,560.0,560.0,560.0,-0.2235978040401453,-5.882352941176472,-35.0,-35.0
1993-06-08,603.75,603.75,560.0,560.0,560.0,-0.2255066129205661,0.0,0.0,0.0
1993-06-09,595.0,595.0,560.0,560.0,560.0,-0.2216889951597244,0.0,0.0,0.0
1993-06-10,516.25,577.5,516.25,568.75,568.75,-0.175877582029625,1.5625,8.75,8.75
1993-06-11,568.75,568.75,568.75,568.75,568.75,-0.2274154218009869,0.0,0.0,0.0
1993-06-14,551.25,551.25,551.25,551.25,551.25,-0.2274154218009869,-3.076923076923077,-17.5,-17.5
1993-06-15,525.0,568.75,525.0,568.75,568.75,-0.2274154218009869,3.174603174603185,17.5,17.5
1993-06-16,525.0,525.0,525.0,525.0,525.0,-0.2274154218009869,-7.692307692307687,-43.75,-43.75
1993-06-17,568.75,568.75,568.75,568.75,568.75,-0.2274154218009869,8.333333333333325,43.75,43.75
1993-06-18,568.75,568.75,568.75,568.75,568.75,-0.2274154218009869,0.0,0.0,0.0
1993-06-21,525.0,568.75,525.0,568.75,568.75,-0.2274154218009869,0.0,0.0,0.0
1993-06-22,525.0,542.5,525.0,542.5,542.5,-0.2274154218009869,-4.61538461538461,-26.25,-26.25
1993-06-23,542.5,542.5,542.5,542.5,542.5,-0.2255066129205661,0.0,0.0,0.0
1993-06-24,507.5,525.0,507.5,525.0,525.0,-0.2274154218009869,-3.2258064516129004,-17.5,-17.5
1993-06-25,525.0,525.0,525.0,525.0,525.0,-0.2274154218009869,0.0,0.0,0.0
1993-06-28,560.0,630.0,525.0,630.0,630.0,-0.2140537596380412,20.0,105.0,105.0
1993-06-29,630.0,630.0,595.0,612.5,612.5,-0.2235978040401453,-2.777777777777779,-17.5,-17.5
1993-06-30,595.0,647.5,595.0,647.5,647.5,-0.2235978040401453,5.714285714285716,35.0,35.0
1993-07-01,612.5,665.0,612.5,647.5,647.5,-0.2083273329967788,0.0,0.0,0.0
1993-07-02,630.0,647.5,595.0,647.5,647.5,-0.2216889951597244,0.0,0.0,0.0
1993-07-06,647.5,647.5,630.0,630.0,630.0,-0.2274154218009869,-2.7027027027026973,-17.5,-17.5
1993-07-07,595.0,612.5,595.0,612.5,612.5,-0.2274154218009869,-2.777777777777779,-17.5,-17.5
1993-07-08,595.0,595.0,595.0,595.0,595.0,-0.2274154218009869,-2.857142857142858,-17.5,-17.5
1993-07-09,621.25,630.0,612.5,630.0,630.0,-0.2216889951597244,5.882352941176472,35.0,35.0
1993-07-12,647.5,647.5,595.0,595.0,595.0,-0.2255066129205661,-5.555555555555558,-35.0,-35.0
1993-07-13,630.0,630.0,612.5,630.0,630.0,-0.2274154218009869,5.882352941176472,35.0,35.0
1993-07-14,630.0,630.0,630.0,630.0,630.0,-0.2274154218009869,0.0,0.0,0.0
1993-07-15,647.5,647.5,595.0,595.0,595.0,-0.2216889951597244,-5.555555555555558,-35.0,-35.0
1993-07-16,647.5,647.5,595.0,603.75,603.75,-0.2255066129205661,1.4705882352941124,8.75,8.75
1993-07-19,595.0,630.0,595.0,630.0,630.0,-0.2274154218009869,4.347826086956519,26.25,26.25
1993-07-20,577.5,595.0,525.0,525.0,525.0,-0.2178713773988828,-16.666666666666664,-105.0,-105.0
1993-07-21,560.0,560.0,525.0,551.25,551.25,-0.2274154218009869,5.000000000000004,26.25,26.25
1993-07-22,525.0,542.5,490.0,498.75,498.75,-0.1319749777799464,-9.523809523809524,-52.5,-52.5
1993-07-23,525.0,542.5,490.0,498.75,498.75,-0.2197801862793036,0.0,0.0,0.0
1993-07-26,560.0,560.0,525.0,525.0,525.0,-0.2274154218009869,5.263157894736836,26.25,26.25
1993-07-27,507.5,560.0,507.5,507.5,507.5,-0.2178713773988828,-3.3333333333333326,-17.5,-17.5
1993-07-28,560.0,560.0,494.375,525.0,525.0,-0.2216889951597244,3.4482758620689724,17.5,17.5
1993-07-29,525.0,525.0,490.0,507.5,507.5,-0.2274154218009869,-3.3333333333333326,-17.5,-17.5
1993-07-30,525.0,525.0,490.0,507.5,507.5,-0.2235978040401453,0.0,0.0,0.0
1993-08-02,507.5,525.0,507.5,525.0,525.0,-0.2235978040401453,3.4482758620689724,17.5,17.5
1993-08-03,525.0,525.0,516.25,525.0,525.0,-0.2235978040401453,0.0,0.0,0.0
1993-08-04,507.5,525.0,507.5,507.5,507.5,-0.2274154218009869,-3.3333333333333326,-17.5,-17.5
1993-08-05,507.5,507.5,490.0,490.0,490.0,-0.2274154218009869,-3.4482758620689613,-17.5,-17.5
1993-08-06,560.0,595.0,507.5,516.25,516.25,-0.206418524116358,5.35714285714286,26.25,26.25
1993-08-09,507.5,542.5,507.5,542.5,542.5,-0.2197801862793036,5.084745762711873,26.25,26.25
1993-08-10,542.5,542.5,481.25,525.0,525.0,-0.2197801862793036,-3.2258064516129004,-17.5,-17.5
1993-08-11,525.0,525.0,490.0,494.375,494.375,-0.2255066129205661,-5.833333333333335,-30.625,-30.625
1993-08-12,490.0,525.0,490.0,498.75,498.75,-0.2140537596380412,0.8849557522123908,4.375,4.375
1993-08-13,516.25,516.25,490.0,498.75,498.75,-0.2216889951597244,0.0,0.0,0.0
1993-08-16,507.5,507.5,490.0,507.5,507.5,-0.2255066129205661,1.7543859649122862,8.75,8.75
1993-08-17,498.75,507.5,498.75,507.5,507.5,-0.2274154218009869,0.0,0.0,0.0
1993-08-18,490.0,490.0,446.25,472.5,472.5,-0.2235978040401453,-6.896551724137934,-35.0,-35.0
1993-08-19,472.5,472.5,446.25,472.5,472.5,-0.2197801862793036,0.0,0.0,0.0
